identifiant,adresse,code_postal,parcours,url_image,copyright_image,legende,categorie,nom_poi,date_saisie,mot_cle,ville,texte_intro,texte_description,url_site,fichier_image,geo_shape,geo_point_2d
poi14-17,59 rue vercingétorix,75014,"['balade14-3', 'balade14-1']",https://capgeo.sig.paris.fr/PdfEtImages/Balades14e/photos/poi14-17.jpg,©StudioTTG,L'Église Notre-Dame-du-Travail,patrimoine religieux,L'Église Notre-Dame-du-Travail,2019-07-17,"['architecture', 'église', 'balade', 'quatorzième']",Paris,"Avez-vous déjà visité une église à la charpente métallique?? Non?? Alors découvrez la belle et très étonnante église Notre-Dame du Travail, au bord des voies ferrées de la gare Montparnasse.","De l’extérieur, rien ne laisse présager ce qui vous attend en passant les portes de cette église, conçue par et pour «?le peuple?». Ce qui vous émerveillera dès votre entrée, c’est son incroyable charpente métallique apparente, totalement inattendue dans un édifice religieux. Élevée grâce à une souscription en 1900, année de la grande exposition universelle qui légua tant à Paris, cette église a été pensée pour les ouvriers alentour. Et cette charpente métallique étonnante témoigne tout à la fois des contraintes budgétaires liées à sa construction (les 135 tonnes de fer qui permirent la construction de la charpente ont été récupérées des ruines du Palais de l’Industrie construit pour l’Exposition universelle), de l’esprit moderniste de l’époque mais aussi d’une volonté de permettre aux ouvriers qui la fréquentaient de s’y sentir «?chez eux?», on se croirait presque dans une usine au tournant du siècle.",,"{'exif_orientation': 1, 'thumbnail': True, 'filename': 'poi14-17.jpg', 'width': 5999, 'format': 'JPEG', 'etag': '""faf4b1ce423ed51:0""', 'mimetype': 'image/jpeg', 'id': 'd0b87afd64d501ca080e2af5adcb7801', 'last_synchronized': '2019-09-18T08:04:31.135999', 'color_summary': ['rgba(161, 187, 214, 1.00)', 'rgba(155, 152, 147, 1.00)', 'rgba(108, 103, 101, 1.00)'], 'height': 4000, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/d0b87afd64d501ca080e2af5adcb7801'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3168200005041615, 48.836219999637265], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3168200005041615, 'lat': 48.836219999637265}"
poi14-59,94 rue de l'ouest,75014,['balade14-4'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,commerce,Fabrique Bohème,2019-07-17,"['shopping', 'éthique', 'solidaire', 'flanerie', 'alternatif', 'balade', 'quatorzième']",Paris,,"Et si vous faisiez une petite halte créative en participant à un atelier DIY (Do It Yourself) à la Fabrique Bohème?? Lettrage, dessin, horlogerie, couture… il y en a pour tous les âges, tous les goûts et surtout pour tout le monde. Si vous cherchez l’inspiration ou un petit cadeau à rapporter chez vous, la Fabrique Bohème expose et vend les créations de «?talents de demain?».",http://lafabriqueboheme.com/,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3164800005120325, 48.834619999628565], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3164800005120325, 'lat': 48.834619999628565}"
poi12-13,40b route de la Ceinture-du-lac-Daumesnil,75012,['balade12-2'],,,,élément d'architecture,La Grande Pagode,2019-08-02,"['douzième', 'architecture', 'plein air']",Paris,,"Ce haut lieu spirituel Bouddhique a pris place à l’intérieur des vestiges de l’Exposition Coloniale de 1931, le « pavillon du Togo » et le « pavillon du Cameroun ». La Grande Pagode a accueilli les reliques du Bouddha en provenance de Thaïlande en 2009 et abrite aujourd’hui le siège de l’Institut International Bouddhique ainsi que le plus grand Bouddha d’Europe : avec son socle, il mesure neuf mètres de haut et est recouvert de feuilles d’or... À couper le souffle ! En revanche le site n’est accessible qu’à l’occasion de grands événements. Dans son enceinte, le temple bouddhiste tibétain de Kagyu-Dzong présente lui aussi une architecture originale qui vaut le détour. Une station Vélib’ met à disposition des vélos pour continuer la balade dans le Bois de Vincennes. Rejoignez l’avenue de Saint-Maurice puis l’avenue de Gravelle par la route du parc.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.4156700001426277, 48.828639999067306], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4156700001426277, 'lat': 48.828639999067306}"
poi13-4,115 avenue de france,75013,['balade13-1'],,,,élément d'architecture,L'immeuble T8,2019-08-06,"['treizième', 'architecture', 'culture']",Paris,,"L’œuvre de l’architecte Rudy Ricciotti offre deux façades bien différentes mais toutes deux surprenantes. On s’arrête d’abord devant l’immeuble de logements recouvert de pierre noire et vert sombre, voisin direct de l’EP7 qu’il semble avoir inspiré. Il a été pensé comme ""une architecture troglodyte taillée dans un bloc de carrière"" et l’ensemble a été imaginé sur le modèle prédominant dans ce quartier, l’îlot ouvert. A côté, le « Nid » abritant bureaux et commerces renferme également un jardin et un plan d’eau (non accessibles depuis la rue malheureusement). PAUSE : Glissez-vous entre la guinguette et le T8, vers la calme place Jean-Michel Basquiat, entourée d’immeubles singuliers et accueillant la terrasse de l’EP7, parfaite pour vous remettre de vos émotions. Au même endroit, la Fab, la fondation Agnes.b dédiée à la collection d’art contemporain de la créatrice, ouvrira bientôt ses portes.

Avancez dans le jardin de la promenade Levi Strauss. En contre-bas à droite se trouve Station F, le plus grand incubateur de start-up d’Europe, créé en 2017. Retrouvez l’avenue de France pour admirer les façades futuristes de ces géants de verre, dont l’un a été conçu par Norman Foster. Prenez la rue des Grands Moulins à droite puis la rue du Chevaleret. Faites quelques pas dans la rue Cantagrel.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3764751317668478, 48.83056901168556], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3764751317668478, 'lat': 48.83056901168556}"
poi13-5,12 rue cantagrel,75013,['balade13-1'],,,,élément d'architecture,La cité du refuge,2019-08-06,"['treizième', 'architecture', 'culture']",Paris,,"La façade colorée à votre droite, c’est la Cité du Refuge conçue par le Corbusier pour l’Armée du Salut. Structure de réinsertion, elle accueille depuis 2016 près de 300 personnes à moindre coût. La Cité est visitable tous les deuxièmes et derniers jeudis du mois et les visites sont menées (en français) par des résidents formés par des architectes. Il est possible de profiter de la cafeteria, et même de la chambre personnelle de la princesse Winnaretta Singer (héritière des machines à coudre et mécène) disponible à la location !",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3768011814410577, 48.82659013961498], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3768011814410577, 'lat': 48.82659013961498}"
poi13-12,78 avenue pierre mendès france,75013,['balade13-1'],,,,élément d'architecture,Le nouveau siège du journal le Monde,2019-08-06,"['treizième', 'culture', 'architecture']",Paris,,"Non loin des actuels bureaux du célèbre journal Le Monde boulevard Auguste Blanqui, ce nouveau siège accueillera l’ensemble des titres du groupe. Cet « immeuble-pont » abritera jardins et espaces publics et sera habillé d’une matrice de verre équipée de LED, symbolisant « le flux en mouvement de l’information, à l’image de nuages ou d’étoiles se déplaçant dans le ciel ».",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.367915223509012, 48.841565505324766], 'type': 'Point'}, 'properties': {}}","{'lon': 2.367915223509012, 'lat': 48.841565505324766}"
poi14-31,242 boulevard raspail,75014,['balade14-2'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,musée-lieu culturel,Atelier de Pablo Picasso,2019-07-17,"['architecture', 'culture', 'balade', 'quatorzième']",Paris,,"Jetez un œil au 242 boulevard Raspail?: cet opulent hôtel particulier, avec ses grandes verrières, fut l’un des ateliers de Pablo Picasso (après quelques années au n°11 de ce même boulevard).",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.330603022135755, 48.838570017255954], 'type': 'Point'}, 'properties': {}}","{'lon': 2.330603022135755, 'lat': 48.838570017255954}"
poi14-51,1 rue raymond losserand,75014,['balade14-3'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,place-rue,La rue Raymond Losserand,2019-07-17,"['artistes', 'village', 'flanerie', 'quatorzième', 'balade']",Paris,,"Après le calme champêtre de la rue des Thermopyles, la rue Raymond Losserand c’est une sensation un peu ébouriffante?! Vous voilà plongé au cœur d’une rue hautement vivante et commerçante. Vous avez un petit creux?? Traiteurs, boulangeries, cafés… nul ne doute que vous trouverez de quoi vous sustenter.",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.322799999733431, 48.83661999977272], 'type': 'Point'}, 'properties': {}}","{'lon': 2.322799999733431, 'lat': 48.83661999977272}"
poi14-34,5 rue delambre,75014,['balade14-2'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,célébrité,Le 5 rue Delambre,2019-07-17,"['architecture', 'culture', 'plein air', 'balade', 'quatorzième']",Paris,,Le peintre Léonard Foujita vécut et travailla dans cet immeuble,,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3288330217584696, 48.84178001695449], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3288330217584696, 'lat': 48.84178001695449}"
poi14-15,9 rue louis morard,75014,['balade14-1'],https://capgeo.sig.paris.fr/PdfEtImages/Balades14e/photos/poi14-15.jpg,©StudioTTG,Bow-windows de la rue Louis Morard,élément d'architecture,La rue Louis Morard,2019-07-17,"['architecture', 'culture', 'plein air', 'famille', 'balade', 'quatorzième']",Paris,Vous allez adorer les bow-windows de la rue Louis Morard?!,"Du 9 au 19 de la rue Morard, c’est une succession de bow-windows de toutes sortes et de tous styles?: une vision étonnante et un peu magique que vous adorerez sans aucun doute photographier?!",,"{'exif_orientation': 1, 'thumbnail': True, 'filename': 'poi14-15.jpg', 'width': 6000, 'format': 'JPEG', 'etag': '""a4415cc423ed51:0""', 'mimetype': 'image/jpeg', 'id': '73988eaeb8608078e6768ed72caa94b0', 'last_synchronized': '2019-09-18T08:05:44.426416', 'color_summary': ['rgba(170, 160, 151, 1.00)', 'rgba(143, 134, 124, 1.00)', 'rgba(121, 108, 97, 1.00)'], 'height': 4000, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/73988eaeb8608078e6768ed72caa94b0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3210241497816835, 48.82853071167838], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3210241497816835, 'lat': 48.82853071167838}"
