stationcode,name,capacity,coordonnees_geo
13007,Le Brun - Gobelins,48,"{'lon': 2.3534681351338, 'lat': 48.835092787824}"
6021,Beaux-Arts - Bonaparte,20,"{'lon': 2.334851883351803, 'lat': 48.856451985395786}"
44017,Jules Guesde - Pont du Port à l'Anglais,30,"{'lon': 2.417212128639221, 'lat': 48.79628807093802}"
17043,Belidor - Gouvion-Saint-Cyr,39,"{'lon': 2.2854680567979813, 'lat': 48.88022154052015}"
11113,Richard Lenoir - Republique,58,"{'lon': 2.3692541, 'lat': 48.8667175}"
15104,Hôpital Européen Georges Pompidou,64,"{'lon': 2.275374233722687, 'lat': 48.83769531916335}"
18046,Etienne Jodelle - Saint Ouen,33,"{'lon': 2.326124420314341, 'lat': 48.88794016394694}"
21005,Hôtel de Ville de Boulogne Billancourt,26,"{'lon': 2.2416803240776066, 'lat': 48.83495885166784}"
15133,Saint Lambert - Blomet,27,"{'lon': 2.2930556908249855, 'lat': 48.83659148147257}"
21015,Nationale - Place Jules Guesde,23,"{'lon': 2.2416052222251897, 'lat': 48.82753962462998}"
15034,Lakanal - Commerce,53,"{'lon': 2.294059172272682, 'lat': 48.84442462786544}"
18009,Jean-François Lépine - Stephenson,22,"{'lon': 2.356855627529275, 'lat': 48.88611466796807}"
32302,Chemin Vert - Fraternité,20,"{'lon': 2.4461565166711807, 'lat': 48.877141208359035}"
9032,Mathurins - Auber,36,"{'lon': 2.3294984212276, 'lat': 48.872988840744}"
20111,Villiers de l'Isle Adam - Pyrénées,20,"{'lon': 2.396222, 'lat': 48.867362}"
43003,Hôpital Bégin,26,"{'lon': 2.4272462725639348, 'lat': 48.84571672113014}"
32303,Gaston Roussel - Commune de Paris,30,"{'lon': 2.432552274419542, 'lat': 48.89432034553156}"
21313,Guynemer - Séverine,26,"{'lon': 2.2790706530213356, 'lat': 48.83091743371036}"
43402,Place de Verdun,40,"{'lon': 2.473775, 'lat': 48.8202823}"
11115,Montreuil - Gonnet,24,"{'lon': 2.3890856287864, 'lat': 48.850500564921}"
