,name,address,description
0,La Masion Rose,"2 Rue de l’Abreuvoir, 75018 Paris, France","A hidden gem cafe in Paris with a unique history. Over 120 years old, purchased by Laure Germaine and her husband in 1905. One of the most Instagrammable spots in Paris."
1,Montparnasse Viewing Deck,"33 Av. du Maine, 75015 Paris, France",Offers an amazing view of the Paris skyline with the Eiffel Tower. Located on the 56th floor of the building in the 5th arrondissement.
2,Canal St Martin,"Starting point located at 47 Quai de Valmy, 75010 Paris, France","A hidden gem in Paris where locals go to hang out and sip wine along the river. Popular spot amongst locals to bring drinks and hang out, especially in warm weather."
3,Musee De Cluny,"28 Rue du Sommerard, 75005 Paris, France","Focuses on the Middle Ages, home to important historical artifacts. Highlighted by the Lady and the Unicorn tapestries from the middle ages."
4,Half-Timbered Houses – Maison du Faucheur & Maison du Mouton,"11 rue Francois Miron, 75004 Paris France","Some of the oldest houses in Paris, built in the 14th century. Strikingly different from typical Haussmann style buildings."
5,Château de Fontainebleau,"77300 Fontainebleau, France","Home to more French royalty than Versailles. Built in 1137, around 500 years older than Versailles. Easily accessible from Paris for a day trip."
6,Wall of Love,"Square Jehan Rictus, Pl. des Abbesses, 75018 Paris, France",Permanent art installation featuring 'I love you' written in 250 languages. Symbolizes the need for people to work together to rebuild and heal the world's broken heart.
7,The Luxembourg Gardens,"75006 Paris, France","Hidden gem full of blooming flowers, statues, and water fountains. Perfect for an afternoon stroll or picnic, often missed by visitors who go to Tuileries Gardens."
8,Balloon de Paris,"Parc André Citroën, 75015 Paris, France","Offers great views of Paris from 984 feet in the air. Affordable balloon rides available everyday, weather permitting."
9,Rue Crémieux,"Rue Crémieux, 75012 Paris, France","Prettiest street in Paris, filled with pastel colored houses. Popular spot for Instagrammers and photographers, important to be respectful of residents."
0,Ralph Lauren Restaurant,"Boulevard St Germain, Paris","A beautiful courtyard restaurant hidden behind imposing doors, offering American-themed food in a stunning setting just 10 paces from a busy street."
1,Restaurant L’Île,"Île St Germain, Paris","A chic brasserie-style restaurant set in stunning gardens on a small island in the Seine, offering salads, steaks, seafood, and fantastic ingredients."
2,Bagatelle Restaurant,"Bois de Boulogne, Paris","An amazing restaurant located in the rose gardens on the far west side of the Park, offering light and elegant menu with plenty of salads and seafood."
3,Pavillon de la Reine,"Place des Vosges, Paris","A Spa Hotel with a beautiful courtyard set just back from the main square, offering a tranquil oasis in the bustling city."
4,Hotel des Grandes Ecoles,Paris,"A hotel with a stunning courtyard at the back, offering a beautiful terrace and courtyard area for a relaxing stay."
5,Ciel de Paris,"Tour Montparnasse, Paris","A bar with the best view in Paris at the top of the Tour Montparnasse, offering an unrivaled view of the city and the Eiffel Tower."
6,Le Troubadour,"Montmartre, Paris","A tucked away courtyard cocktail bar in Montmartre, offering fantastic cocktails and a chilled vibe amidst cobbled stones and lush vegetation."
7,Library Bar at the St James Hotel,"16th arrondissement, Paris","A luxury boutique hotel with a beautiful library bar, offering a charming and luxurious environment for a martini or aperitif."
0,Sainte-Chapelle,Île de la Cité,"Gothic style chapel with beautiful colors, hidden for years due to restoration."
1,"Le Consulat, Montmartre",Montmartre,"Bohemian neighborhood retaining its roots, great for postcard-worthy photos."
2,Galerie Vivienne Passage,Unknown,Charming shopping passage with charismatic vibe.
3,Palais Royal,Unknown,Instagram-famous black and white columns in a large courtyard.
4,Marie De Medicis Fountain,Luxembourg Gardens,Quiet corner with a beautiful fountain shaded by trees.
