embassy_webpages,country,diplomatic_mission_type,phone
https://embassies.net/algeria-in-france/paris, Algeria,Embassy,33 1 53932020
https://embassies.net/angola-in-france/paris, Angola,Embassy,33 1 4501 5820
https://embassies.net/benin-in-france/paris, Benin,Embassy,33 1 45009882
https://embassies.net/botswana-in-france/paris, Botswana,Consulate General,33 1 47200823
https://embassies.net/burkina-faso-in-france/paris, Burkina Faso,Embassy,33 1 43 59 90 63
https://embassies.net/burundi-in-france/paris, Burundi,Embassy,33 1 45 20 60 61
https://embassies.net/cameroon-in-france/paris, Cameroon,Embassy,33 1 47439833
https://embassies.net/cape-verde-in-france/paris, Cape Verde,Embassy,33 1 4212 7350 and 33 1 4212 7354
https://embassies.net/central-african-republic-in-france/paris, Central African Republic,Embassy,33 1 5574 7310  and  33 1 4525 3974
https://embassies.net/chad-in-france/paris, Chad,Embassy,33 1 45 53 36 75
https://embassies.net/comoros-in-france/paris, Comoros,Embassy,33 1 40679054
https://embassies.net/cote-d-ivoire-in-france/paris, Côte d'Ivoire,Embassy,33 1 5364 6262
https://embassies.net/democratic-republic-of-the-congo-in-france/paris, Democratic Republic of the Congo,Embassy,33 1 42 2557 50
https://embassies.net/djibouti-in-france/paris, Djibouti,Embassy,33 1 47 04 03 36
https://embassies.net/egypt-in-france/paris, Egypt,Embassy,33 1 53 67 88 30
https://embassies.net/equatorial-guinea-in-france/paris, Equatorial Guinea,Embassy,33 1 45 01 91 49
https://embassies.net/eritrea-in-france/paris, Eritrea,Embassy,33 1 43 06 15 56
https://embassies.net/ethiopia-in-france/paris, Ethiopia,Embassy,33 1 8273 2586  and  33 1 4783 8395
https://embassies.net/gabon-in-france/paris, Gabon,Embassy,33 1 42 99 68 68
https://embassies.net/gambia-in-france/paris, Gambia,Embassy,91 11 461 204 712
https://embassies.net/ghana-in-france/paris, Ghana,Embassy,33 1 80 46 63 64
https://embassies.net/guinea-in-france/paris, Guinea,Embassy,33 1 4500  0950  and   33 1 4704 8148
https://embassies.net/guinea-bissau-in-france/paris, Guinea-Bissau,Embassy,33 1 4878 3669  and  33 1 4526 1851
https://embassies.net/kenya-in-france/paris, Kenya,Embassy,33 1 5662 2525
https://embassies.net/liberia-in-france/paris, Liberia,Embassy,33 1 4763 5855
https://embassies.net/libya-in-france/paris, Libya,Embassy,33 1 47 04 7160
https://embassies.net/madagascar-in-france/paris, Madagascar,Embassy,33 1 4504 6211
https://embassies.net/malawi-in-france/paris, Malawi,Embassy,33 1 40701846 33 1 47202027
https://embassies.net/mali-in-france/paris, Mali,Embassy,33 1 4548 5843
https://embassies.net/mauritania-in-france/paris, Mauritania,Embassy,33 1 4504 8854
https://embassies.net/mauritius-in-france/paris, Mauritius,Embassy,33 1 4227 3019  and  33 1 4227 9950
https://embassies.net/morocco-in-france/paris, Morocco,Embassy,33 1 4520 6935
https://embassies.net/morocco-in-france/paris, Morocco,Consulate General,33 1 4853 6385
https://embassies.net/mozambique-in-france/paris, Mozambique,Embassy,33 01 47649132
https://embassies.net/namibia-in-france/paris, Namibia,Embassy,33 1 44 173 265
https://embassies.net/nigeria-in-france/paris, Nigeria,Embassy,33 5 34417440
https://embassies.net/republic-of-the-congo-in-france/paris, Republic of the Congo,Embassy,33 1 45006057
https://embassies.net/rwanda-in-france/paris, Rwanda,Embassy,33 1 71 19 91 91
https://embassies.net/sao-tome-and-principe-in-france/paris, São Tomé and Príncipe,Consulate General,33 1 41 10 08 54
https://embassies.net/seychelles-in-france/paris, Seychelles,Consulate General,331 47203966
https://embassies.net/somalia-in-france/paris, Somalia,Embassy,33 1 40 62 98 68
https://embassies.net/south-africa-in-france/paris, South Africa,Embassy,33   1 53 59 24 10
https://embassies.net/sudan-in-france/paris, Sudan,Embassy,33 1 42 25 55 71
https://embassies.net/tanzania-in-france/paris, Tanzania,Embassy,33 1 53 70 63 66
https://embassies.net/togo-in-france/paris, Togo,Embassy,33 1 43 80 12 13
https://embassies.net/tunisia-in-france/paris, Tunisia,Embassy,33 1 45 55 95 98
https://embassies.net/uganda-in-france/paris, Uganda,Embassy,33 243726 4373  6
https://embassies.net/zambia-in-france/paris, Zambia,Embassy,33 1 47 05 54 60
https://embassies.net/zambia-in-france/paris, Zambia,Consulate,33 1 47 05 54 60
https://embassies.net/zimbabwe-in-france/paris, Zimbabwe,Embassy,33 1 56 88 16 00
https://embassies.net/afghanistan-in-france/paris, Afghanistan,Embassy,33 1 4525 0529
https://embassies.net/armenia-in-france/paris, Armenia,Embassy,33 1 421 298 00 and 33 1 421 298 02
https://embassies.net/azerbaijan-in-france/paris, Azerbaijan,Permanent Mission,3301 45 68 28 77
https://embassies.net/azerbaijan-in-france/paris, Azerbaijan,Embassy,33 1 44 18 60 23
https://embassies.net/bangladesh-in-france/paris, Bangladesh,Embassy,33 1 46 51 90 33
https://embassies.net/bhutan-in-france/paris, Bhutan,Consulate General,33 1 45234177
https://embassies.net/brunei-in-france/paris, Brunei,Embassy,33 1 53 64 67 60
https://embassies.net/cambodia-in-france/paris, Cambodia,Embassy,33  1 4503 4720
https://embassies.net/china-in-france/paris, China,Embassy,0033149521950
https://embassies.net/georgia-in-france/paris, Georgia,Embassy,33 1 45 02 16 16
https://embassies.net/india-in-france/paris, India,Embassy,33 6 68 55 70 72
https://embassies.net/indonesia-in-france/paris, Indonesia,Embassy, 33 1  4503 0760
https://embassies.net/japan-in-france/paris, Japan,Embassy,33 0148886200
https://embassies.net/kazakhstan-in-france/paris, Kazakhstan,Embassy,33 1 45 61 52 00
https://embassies.net/laos-in-france/paris, Laos,Embassy,331 4553 0298
https://embassies.net/malaysia-in-france/paris, Malaysia,Embassy, 33 1 45 53 11 85
https://embassies.net/mongolia-in-france/paris, Mongolia,Embassy,33 1 46052812
https://embassies.net/myanmar-in-france/paris, Myanmar,Embassy, 33 1  42 25 56 95
https://embassies.net/nepal-in-france/paris, Nepal,Embassy,33 0 14622 4867
https://embassies.net/pakistan-in-france/paris, Pakistan,Embassy,33 1 4562 2332
https://embassies.net/philippines-in-france/paris, Philippines,Embassy,331 44145700 and 331 44145701
https://embassies.net/singapore-in-france/paris, Singapore,Embassy,33 1 5679 6800
https://embassies.net/south-korea-in-france/paris, South Korea,Embassy,33147536995 and 33147530101
https://embassies.net/sri-lanka-in-france/paris, Sri Lanka,Embassy,33 1 55 73 31 31
https://embassies.net/thailand-in-france/paris, Thailand,Embassy,33 01 5626 5050
https://embassies.net/turkmenistan-in-france/paris, Turkmenistan,Embassy,33 147 55 05 36
https://embassies.net/uzbekistan-in-france/paris, Uzbekistan,Embassy,33  1 53 30 03 53
https://embassies.net/vietnam-in-france/paris, Vietnam,Permanent Mission, 33 1  4432 0877
https://embassies.net/vietnam-in-france/paris, Vietnam,Embassy,33 1 44 146 400
https://embassies.net/bahamas-in-france/paris, Bahamas,Honorary Consulate,33 1 42 86 03 60
https://embassies.net/barbados-in-france/paris, Barbados,Honorary Consulate,33 607 45 44 05
https://embassies.net/costa-rica-in-france/paris, Costa Rica,Embassy,33 1 4 578 9696 33 1 4 578 6161
