Event,Sport,Date,Time,Competitors
"Hommes, Phase de Groupe - Groupe A",Basketball,27/07/2024,11:00,"['Australie', 'Vainqueur OQT ESP']"
"Hommes, phase de groupe - groupe B",Basketball,27/07/2024,13:30,"['Allemagne', 'Japon']"
"Hommes, phase de groupe - groupe B",Basketball,27/07/2024,17:15,"['France', 'Vainqueur OQT LAT']"
"Hommes, Phase de Groupe - Groupe A",Basketball,27/07/2024,21:00,"['Vainqueur OQT GRE', 'Canada']"
"Hommes, phase de groupe - groupe C",Basketball,28/07/2024,11:00,"['Soudan du Sud', 'Vainqueur OQT PUR']"
"Femmes, phase de groupe - groupe A",Basketball,28/07/2024,13:30,"['Espagne', 'Chine']"
"Hommes, phase de groupe - groupe C",Basketball,28/07/2024,17:15,"['Serbie', 'États-Unis']"
"Femmes, phase de groupe - groupe A",Basketball,28/07/2024,21:00,"['Serbie', 'Porto Rico']"
"Femmes, phase de groupe - groupe B",Basketball,29/07/2024,11:00,"['Nigéria', 'Australie']"
"Femmes, phase de groupe - groupe C",Basketball,29/07/2024,13:30,"['Allemagne', 'Belgique']"
"Femmes, phase de groupe - groupe B",Basketball,29/07/2024,17:15,"['Canada', 'France']"
"Femmes, phase de groupe - groupe C",Basketball,29/07/2024,21:00,"['États-Unis', 'Japon']"
"Hommes, Phase de Groupe - Groupe A",Basketball,30/07/2024,11:00,"['Vainqueur OQT ESP', 'Vainqueur OQT GRE']"
"Hommes, Phase de Groupe - Groupe A",Basketball,30/07/2024,13:30,"['Canada', 'Australie']"
"Hommes, phase de groupe - groupe B",Basketball,30/07/2024,17:15,"['Japon', 'France']"
"Hommes, phase de groupe - groupe B",Basketball,30/07/2024,21:00,"['Vainqueur OQT LAT', 'Allemagne']"
"Femmes, phase de groupe - groupe A",Basketball,31/07/2024,11:00,"['Porto Rico', 'Espagne']"
"Femmes, phase de groupe - groupe A",Basketball,31/07/2024,13:30,"['Chine', 'Serbie']"
"Hommes, phase de groupe - groupe C",Basketball,31/07/2024,17:15,"['Vainqueur OQT PUR', 'Serbie']"
"Hommes, phase de groupe - groupe C",Basketball,31/07/2024,21:00,"['États-Unis', 'Soudan du Sud']"
"Femmes, phase de groupe - groupe C",Basketball,01/08/2024,11:00,"['Japon', 'Allemagne']"
"Femmes, phase de groupe - groupe B",Basketball,01/08/2024,13:30,"['Australie', 'Canada']"
"Femmes, phase de groupe - groupe B",Basketball,01/08/2024,17:15,"['France', 'Nigéria']"
"Femmes, phase de groupe - groupe C",Basketball,01/08/2024,21:00,"['Belgique', 'États-Unis']"
"Hommes, phase de groupe - groupe B",Basketball,02/08/2024,11:00,"['Japon', 'Vainqueur OQT LAT']"
"Hommes, Phase de Groupe - Groupe A",Basketball,02/08/2024,13:30,"['Australie', 'Vainqueur OQT GRE']"
"Hommes, Phase de Groupe - Groupe A",Basketball,02/08/2024,17:15,"['Canada', 'Vainqueur OQT ESP']"
"Hommes, phase de groupe - groupe B",Basketball,02/08/2024,21:00,"['France', 'Allemagne']"
"Femmes, phase de groupe - groupe A",Basketball,03/08/2024,11:00,"['Chine', 'Porto Rico']"
"Femmes, phase de groupe - groupe A",Basketball,03/08/2024,13:30,"['Serbie', 'Espagne']"
"Hommes, phase de groupe - groupe C",Basketball,03/08/2024,17:15,"['Vainqueur OQT PUR', 'États-Unis']"
"Hommes, phase de groupe - groupe C",Basketball,03/08/2024,21:00,"['Serbie', 'Soudan du Sud']"
"Femmes, phase de groupe - groupe C",Basketball,04/08/2024,11:00,"['Japon', 'Belgique']"
"Femmes, phase de groupe - groupe B",Basketball,04/08/2024,13:30,"['Canada', 'Nigéria']"
"Femmes, phase de groupe - groupe C",Basketball,04/08/2024,17:15,"['Allemagne', 'États-Unis']"
"Femmes, phase de groupe - groupe B",Basketball,04/08/2024,21:00,"['Australie', 'France']"
"Hommes, quart de finale",Basketball,06/08/2024,11:00,[]
"Hommes, quart de finale",Basketball,06/08/2024,14:30,[]
"Hommes, quart de finale",Basketball,06/08/2024,18:00,[]
"Hommes, quart de finale",Basketball,06/08/2024,21:30,[]
"Femmes, quart de finale",Basketball,07/08/2024,11:00,[]
"Femmes, quart de finale",Basketball,07/08/2024,14:30,[]
"Femmes, quart de finale",Basketball,07/08/2024,18:00,[]
"Femmes, quart de finale",Basketball,07/08/2024,21:30,[]
"Hommes, demi-finale",Basketball,08/08/2024,17:30,[]
"Hommes, demi-finale",Basketball,08/08/2024,21:00,[]
"Femmes, demi-finale",Basketball,09/08/2024,17:30,[]
"Femmes, demi-finale",Basketball,09/08/2024,21:00,[]
"Hommes, médaille de bronze",Basketball,10/08/2024,11:00,[]
"Hommes, médaille d'or",Basketball,10/08/2024,21:30,[]
"Femmes, médaille de bronze",Basketball,11/08/2024,11:30,[]
"Femmes, médaille d'or",Basketball,11/08/2024,15:30,[]
"Qualification - hommes, subdivision 1",Gymnastique Artistique,27/07/2024,11:00,[]
"Qualification - hommes, subdivision 2",Gymnastique Artistique,27/07/2024,15:30,[]
"Qualification - hommes, subdivision 3",Gymnastique Artistique,27/07/2024,20:00,[]
"Qualification - femmes, subdivision 1",Gymnastique Artistique,28/07/2024,09:30,[]
"Qualification - femmes, subdivision 2",Gymnastique Artistique,28/07/2024,11:40,[]
"Qualification - femmes, subdivision 3",Gymnastique Artistique,28/07/2024,14:50,[]
"Qualification - femmes, subdivision 4",Gymnastique Artistique,28/07/2024,18:00,[]
"Qualification - femmes, subdivision 5",Gymnastique Artistique,28/07/2024,21:10,[]
"Par équipes - hommes, finale",Gymnastique Artistique,29/07/2024,17:30,[]
"Par équipes - femmes, finale",Gymnastique Artistique,30/07/2024,18:15,[]
"Concours général - hommes, finale",Gymnastique Artistique,31/07/2024,17:30,[]
"Concours général - femmes, finale",Gymnastique Artistique,01/08/2024,18:15,[]
"Exercices au sol - hommes, finale",Gymnastique Artistique,03/08/2024,15:30,[]
"Saut - femmes, finale",Gymnastique Artistique,03/08/2024,16:20,[]
"Cheval d'arçons - hommes, finale",Gymnastique Artistique,03/08/2024,17:10,[]
"Anneaux - hommes, finale",Gymnastique Artistique,04/08/2024,15:00,[]
"Barres asymétriques - femmes, finale",Gymnastique Artistique,04/08/2024,15:40,[]
"Saut - hommes, finale",Gymnastique Artistique,04/08/2024,16:25,[]
"Barres parallèles - hommes, finale",Gymnastique Artistique,05/08/2024,11:45,[]
"Poutre - femmes, finale",Gymnastique Artistique,05/08/2024,12:36,[]
"Barre fixe - hommes, finale",Gymnastique Artistique,05/08/2024,13:31,[]
"Exercices au sol - femmes, finale",Gymnastique Artistique,05/08/2024,14:20,[]
"Femmes, qualifications",Trampoline,02/08/2024,12:00,[]
"Femmes, finale",Trampoline,02/08/2024,13:50,[]
"Hommes, qualifications",Trampoline,02/08/2024,18:00,[]
"Hommes, finale",Trampoline,02/08/2024,19:45,[]
"-48 kg - fem., éliminatoire, 1/32 finale",Judo,27/07/2024,10:00,[]
"-60 kg - hom., éliminatoire, 1/32 finale",Judo,27/07/2024,10:00,[]
"-48 kg - fem., éliminatoire, 1/16 finale",Judo,27/07/2024,10:28,[]
"-60 kg - hom., éliminatoire, 1/16 finale",Judo,27/07/2024,10:28,[]
"-48 kg - fem., éliminatoire, 1/8 finale",Judo,27/07/2024,12:20,[]
"-60 kg - hom., éliminatoire, 1/8 finale",Judo,27/07/2024,12:20,[]
"-48 kg - femmes, quarts de finale",Judo,27/07/2024,13:16,[]
"-60 kg - hommes, quarts de finale",Judo,27/07/2024,13:16,[]
"-48 kg - femmes, repêchage",Judo,27/07/2024,16:00,[]
"-48 kg - femmes, demi-finales",Judo,27/07/2024,16:17,[]
"-60 kg - hommes, repêchage",Judo,27/07/2024,16:34,[]
"-60 kg - hommes, demi-finales",Judo,27/07/2024,16:51,[]
"-48 kg - femmes, combat bronze A",Judo,27/07/2024,17:18,[]
"-48 kg - femmes, combat bronze B",Judo,27/07/2024,17:28,[]
"-48 kg - femmes, finale",Judo,27/07/2024,17:38,[]
"-60 kg - hommes, combat bronze A",Judo,27/07/2024,17:49,[]
"-60 kg - hommes, combat bronze B",Judo,27/07/2024,17:59,[]
"-60 kg - hommes, finale",Judo,27/07/2024,18:09,[]
"-66 kg - hom., éliminatoire, 1/32 finale",Judo,28/07/2024,10:00,[]
"-52 kg - fem., éliminatoire, 1/32 finale",Judo,28/07/2024,10:00,[]
"-66 kg - hom., éliminatoire, 1/16 finale",Judo,28/07/2024,10:28,[]
"-52 kg - femmes, quarts de finale",Judo,28/07/2024,10:28,[]
"-66 kg - hom., éliminatoire, 1/8 finale",Judo,28/07/2024,12:20,[]
"-66 kg - hommes, quarts de finale",Judo,28/07/2024,13:16,[]
"-66 kg - hommes, repêchage",Judo,28/07/2024,16:00,[]
"-66 kg - hommes, demi-finales",Judo,28/07/2024,16:17,[]
"-52 kg - femmes, repêchage",Judo,28/07/2024,16:34,[]
"-52 kg - femmes, demi-finales",Judo,28/07/2024,16:51,[]
"-66 kg - hommes, combat bronze A",Judo,28/07/2024,17:18,[]
"-66 kg - hommes, combat bronze B",Judo,28/07/2024,17:28,[]
"-66 kg - hommes, finale",Judo,28/07/2024,17:38,[]
"-52 kg - femmes, combat bronze A",Judo,28/07/2024,17:49,[]
"-52 kg - femmes, combat bronze B",Judo,28/07/2024,17:59,[]
"-52 kg - femmes, finale",Judo,28/07/2024,18:09,[]
"-57 kg - fem., éliminatoire, 1/32 finale",Judo,29/07/2024,10:00,[]
"-73 kg - hom., éliminatoire, 1/32 finale",Judo,29/07/2024,10:00,[]
"-57 kg - fem., éliminatoire, 1/16 finale",Judo,29/07/2024,10:28,[]
"-73 kg - hom., éliminatoire, 1/16 finale",Judo,29/07/2024,10:28,[]
"-57 kg - fem., éliminatoire, 1/8 finale",Judo,29/07/2024,12:20,[]
"-73 kg - hom., éliminatoire, 1/8 finale",Judo,29/07/2024,12:20,[]
"-57 kg - femmes, quarts de finale",Judo,29/07/2024,13:16,[]
