startDate,endDate,lastUpdate,cause,severity,title,message,message_nohtml,tags
2023-12-15 11:00:00,2024-12-31 23:59:00,2024-04-02 18:27:23,TRAVAUX,BLOQUANTE,CCEJR SUPPRIME LIGNE 68.09,"<p>En raison des travaux et de l'impossibilité de faire demi-tour, l'arrêt ""CCEJR"" sur la ligne 68.09 est supprimé.</p><p>&nbsp;</p><p>Les départs et terminus se feront à l'arrêt ""Pont Royal""</p>","En raison des travaux et de l'impossibilité de faire demi-tour, l'arrêt ""CCEJR"" sur la ligne 68.09 est supprimé. Les départs et terminus se feront à l'arrêt ""Pont Royal""",
2024-07-27 16:00:00,2024-07-28 05:15:00,2024-04-24 11:04:14,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 27/07 à partir de 16h, les accès aux stations Boulogne Jean Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange - Auteuil et Michel-Ange - Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 27/07 à partir de 16h, les accès aux stations Boulogne Jean Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange - Auteuil et Michel-Ange - Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-07-28 16:00:00,2024-07-29 05:15:00,2024-04-24 11:04:29,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 28/07 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 28/07 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-07-29 16:00:00,2024-07-30 05:15:00,2024-04-24 11:04:43,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 29/07 à partir de 16h, les accès aux stations Boulogne – J.Jaurès, Boulogne Pt St-Cl., Exelmans, Mich.Ange Auteuil et Mich.Ange Molitor seront fermés. Les correspondances dans la station seront impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 29/07 à partir de 16h, les accès aux stations Boulogne – J.Jaurès, Boulogne Pt St-Cl., Exelmans, Mich.Ange Auteuil et Mich.Ange Molitor seront fermés. Les correspondances dans la station seront impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-07-30 16:00:00,2024-07-31 05:15:00,2024-04-24 11:04:56,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 30/07 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 30/07 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-07-31 16:00:00,2024-08-01 05:15:00,2024-04-24 11:05:08,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 31/07 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 31/07 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-08-01 16:00:00,2024-08-02 05:15:00,2024-04-24 11:05:21,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 01/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 01/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-08-02 16:00:00,2024-08-03 05:15:00,2024-04-24 11:05:33,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 02/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 02/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-08-03 16:00:00,2024-08-04 05:15:00,2024-04-24 11:05:46,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 03/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 03/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
2024-08-09 16:00:00,2024-08-10 05:15:00,2024-04-24 11:30:42,PERTURBATION,BLOQUANTE,"Boulogne Jean Jaurès / Boulogne Pont de Saint-Cloud / Exelmans / Michel-Ange - Auteuil / Michel-Ange - Molitor : Jeux de Paris 2024 - Station fermée, correspondances impossibles","<p>Le 09/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles.<br>Raison : organisation des jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>","Le 09/08 à partir de 16h, les accès aux stations Boulogne – Jean-Jaurès, Boulogne Pont de Saint-Cloud, Exelmans, Michel-Ange – Auteuil et Michel-Ange – Molitor seront fermés, correspondances impossibles. Raison : organisation des jeux de Paris 2024 Plus d'informations sur le site ratp.fr",Actualité
